electricité électronique,39.7
études et développement informatique,37.699999999999996
maçonnerie,36.0
"installation et maintenance en froid, conditionnement d'air",34.900000000000006
conduite de grue,34.5
conduite d'engins agricoles et forestiers,33.5
réparation de carrosserie,32.4
"électricite, électronique",32.1
conduite d'engins de chantier,32.0
direction de chantier du btp,31.800000000000004
éclairage spectacle,31.299999999999997
soudage manuel,30.200000000000003
prise de son et sonorisation,30.099999999999998
"electricité, électronique",29.4
boucherie,29.299999999999997
bûcheronnage et élagage,28.900000000000002
pose de canalisations,28.9
métré en métallerie,28.599999999999998
méthodes et gestion de production en chaudronnerie et métallerie,28.400000000000002
"construction, bâtiment et travaux publics",28.1
mécanique générale et de précision,27.700000000000003
conseil en gestion de patrimoine financier,27.599999999999998
maintenance informatique et bureautique,27.3
fabrication et réparation d'instruments de musique,27.099999999999998
production et exploitation de systèmes d'information,26.400000000000002
métallurgie,26.200000000000003
films d'animation et effets spéciaux,26.200000000000003
réalisation et montage en tuyauterie,25.9
"informatique, traitement de l'information",25.700000000000003
relation commerciale en vente de véhicules,25.500000000000004
chaudronnerie - tôlerie,25.1
machinerie spectacle,25.099999999999998
information météorologique,24.6
gestion de portefeuilles sur les marchés financiers,24.499999999999996
droit de la sécurité et de la défense,24.499999999999996
mécanique aéronautique et spatiale,24.1
qualité sécurité environnement et protection santé du btp,23.599999999999998
peinture industrielle,23.5
"recherche en sciences de l'univers,de la matière et du vivant",23.2
informatique en biologie,23.0
personnel de la défense,22.5
trésorerie et financement,22.4
travail du bois et de l'ameublement,22.099999999999998
géologie de l'environnement,21.700000000000003
montage audiovisuel et post-production,21.599999999999998
gérance immobilière,21.5
météorologie,21.200000000000003
"recherche en sciences de l'univers, de la matière et du vivant",21.199999999999996
"assistance informatique, maintenance de logiciels et réseaux",21.1
études géologiques,21.0
architecture du btp et du paysage,20.9
physique,20.7
arboriculture et viticulture,20.7
encadrement de la navigation maritime,20.4
management et ingénierie d'affaires,20.3
réalisation cinématographique et audiovisuelle,20.2
vente technico-commerciale des produits de la forêt et de la pêche,20.000000000000004
physique-chimie,20.0
charcuterie - traiteur,20.0
personnel polyvalent d'hôtellerie,19.999999999999996
design industriel,19.900000000000002
fabrication et affinage de fromages,19.700000000000003
navigation fluviale,19.4
ingénierie et études du btp,19.300000000000004
direction de laboratoire d'analyse industrielle,19.3
biochimie de l'eau et de l'environnement,19.200000000000003
construction de décors de spectacle,19.099999999999998
courtage en assurances,18.8
analyse de crédits et risques bancaires,18.700000000000003
sommellerie,18.699999999999996
droit pénal,18.699999999999996
techniques de l'imprimerie et de l'édition,18.6
transaction immobilière,18.300000000000004
direction de grande entreprise ou d'établissement public,18.300000000000004
"surveillance et protection de la forêt, de la faune sauvage et des espaces naturels",18.299999999999997
droit des affaires,18.199999999999996
sciences de la terre,18.0
gestion en banque et assurance,18.0
restauration des oeuvres d'art,17.9
management d'hôtel-restaurant,17.7
préparation en pharmacie,17.599999999999998
philosophie du langage,17.3
management d'établissement de restauration collective,17.3
géographie de l'aménagement et du développement,17.3
comptabilité,17.299999999999997
image cinématographique et télévisuelle,17.200000000000003
recherche agronomique,17.199999999999996
mathématiques,17.1
management des ressources humaines,17.1
agriculture,17.1
arts du cirque et arts visuels,17.099999999999998
régie générale,17.0
protection du patrimoine naturel,17.0
éducation en activités sportives,16.9
service en restauration,16.9
conseil en organisation et management d'entreprise,16.7
économie,16.6
aménagement paysager,16.599999999999998
gardiennage de locaux,16.499999999999996
biochimie appliquée aux procédés industriels,16.400000000000002
"chimie-biologie, biochimie",16.3
"philosophie, éthique et théologie",16.0
entretien des espaces naturels,15.8
"comptabilité, gestion",15.8
droit fiscal,15.7
biopharmacologie,15.7
personnel de cuisine,15.3
négociation et vente,15.299999999999997
élevage bovin ou équin,14.8
boulangerie - viennoiserie,14.799999999999997
chimie,14.600000000000001
cuisine,14.299999999999997
développement et protection du patrimoine culturel,13.999999999999996
sciences des ressources agro-alimentaires,13.900000000000002
défense et conseil juridique,13.900000000000002
biologie de l'agronomie et de l'agriculture,13.900000000000002
poissonnerie,13.800000000000004
animation musicale et scénique,13.7
arts appliqués à la communication et à l'audiovisuel,13.599999999999998
gestion touristique et hôtelière,13.199999999999996
linguistique,13.000000000000004
conseil clientèle en assurances,12.700000000000003
"réalisation d'ouvrages en bijouterie,joaillerie et orfèvrerie",12.7
optique - lunetterie,12.699999999999996
biologie médicale,12.400000000000002
photographie,12.399999999999999
médecine dentaire,12.2
magistrature,12.100000000000001
langues et civilisations anciennes,12.099999999999998
biochimie des produits alimentaires,12.0
géographie,11.899999999999999
médecine généraliste et spécialisée,11.799999999999997
fabrication textile,11.600000000000001
pharmacie,11.5
gestion de patrimoine culturel,11.400000000000002
travail social,11.0
reprographie,10.999999999999996
littérature et philosophie,10.999999999999996
"pâtisserie,confiserie,chocolaterie et glacerie",10.900000000000002
"langues vivantes, civilisations étrangères et régionales",10.7
conseil en information médicale,10.499999999999996
"traduction,interprétariat",10.400000000000002
enseignement des écoles,10.399999999999999
journalisme et information média,10.299999999999997
droit de l'environnement,10.199999999999996
droit de la santé,10.0
direction des centres de loisirs ou culturels,9.900000000000002
sciences sociales,9.899999999999999
direction administrative et financière,9.700000000000003
"gestion et mise à disposition de ressources documentaires, conservation des archives",9.600000000000001
"réalisation d'ouvrages en bijouterie, joaillerie et orfèvrerie",9.5
philosophie du droit,9.400000000000002
marketing,9.3
animation touristique et culturelle,9.299999999999997
"droit, sciences politiques",9.100000000000001
arts plastiques,8.600000000000001
journalisme et communication,8.399999999999999
linguistique et didactique des langues,8.099999999999998
histoire,7.899999999999999
epistémologie des sciences humaines,7.699999999999996
réalisation d'objets artistiques et fonctionnels en verre,7.5
organisation d'évènementiel,7.5
musique et chant,7.5
vente en alimentation,6.5
psychologie clinique,6.300000000000001
"traduction, interprétariat",5.899999999999999
soins infirmiers spécialisés en anesthésie,5.899999999999999
assistance médico-technique,5.600000000000001
sociologie et travail social,5.100000000000001
psychologie de la santé,5.099999999999998
psychopédagogie,5.0
assistance de direction d'hôtel-restaurant,4.900000000000002
"ressources humaines, gestion de l'emploi",4.699999999999999
"commerce, vente",4.699999999999999
costume et habillage spectacle,4.299999999999997
"littérature appliquée à la documentation, communication, lettres et enseignement",3.6000000000000014
accompagnement et médiation familiale,2.400000000000002
interprétariat et traduction,2.299999999999997
"français, littérature et civilisation française",2.299999999999997
art dramatique,2.0
toilettage des animaux,1.1999999999999993
animation de loisirs auprès d'enfants ou d'adolescents,1.1999999999999993
aide et médiation judiciaire,0.9000000000000021
danse,0.30000000000000426
intervention socioéducative,-1.3000000000000007
"langues étrangères appliquées au tourisme, au commerce international, aux affaires, à la documentation",-1.6000000000000014
psychologie,-1.9000000000000021
communication,-3.5
coiffure,-4.699999999999999
retouches en habillement,-4.799999999999997
création textile,-5.800000000000001
secrétariat comptable,-7.400000000000002
diététique,-7.800000000000001
stylisme,-8.800000000000004
soins infirmiers généralistes,-8.800000000000004
accueil touristique,-9.600000000000001
secrétariat et assistanat médical ou médico-social,-9.799999999999997
"dentellerie, broderie",-9.799999999999997
"coiffure, esthétique et autres spécialites de services aux personnes",-10.0
maquillage de scène,-10.3
orthophonie,-10.600000000000001
mannequinat et pose artistique,-15.8
éducation de jeunes enfants,-19.000000000000004
services domestiques,-21.300000000000004
aide en puériculture,-23.4
soins infirmiers spécialisés en puériculture,-25.1
esthétique,-27.099999999999998
